1163701140100; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 100 FA VD INC TIPO 1 (EMB HOSP); BU_
1163701140046; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC (EMB HOSP); BU_
1163701140021; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC + 20 AMP  DIL X 10 ML (EMB HOSP); BU_
1163701140038; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC +  20 DIL AMP PLAS X 10 ML (EMB HOSP); BU_
1163701140054; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 100 FA VD INC (EMB HOSP); BU_
1163701140062; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CT FA VD INC TIPO 1 + AMP DIL X 10 ML ; BU_
1163701140070; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 + 20 AMP DIL X 10 ML (EMB HOSP); BU_
1163701140089; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 + 20 AMP DIL PLAS X 10 ML (EMB HOSP); BU_
1163701140097; VANCOSON; VANCOSON; NOT FOUND; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 (EMB HOSP); BU_
1163701130016; VASOTON; VASOTON; NOT FOUND; 2.5 MG/ML SOL INJ CX 5 AMP VD INC X 2 ML; BU_
1163700790012; VIKATRON; VIKATRON; NOT FOUND; 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; BU_
1163700250018; VUDIRAX; VUDIRAX; NOT FOUND; LAMIVUDINA COMPRIMIDOS 150 MG - 10 MG/ML SOL ORAL FR X; BU_
1163700250026; VUDIRAX; VUDIRAX; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 60 ; BU_
1163700640010; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; SUS INJ CT COLM  SER VD INC PRE-ENCH X 0.5 ML   ; BU_
1163700640029; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; SUS INJ CT COLM 10 SER VD INC PRE-ENCH X 0.5 ML   ; BU_
