1163700930051; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; BU_
1163700930035; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML   ; BU_
1163700930043; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL  PLAS X 10 ML; BU_
1163700930061; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; BU_
1163700930078; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
1163700350012; FANCLOMAX; FANCLOMAX; NOT FOUND; 125 MG COM CT BL AL PLAS INC X 10; BU_
1163700350020; FANCLOMAX; FANCLOMAX; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 7; BU_
1163700350039; FANCLOMAX; FANCLOMAX; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 21; BU_
1163700580069; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 AMP VD INC X 1 ML ; BU_
1163700580018; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 FA VD INC X 1 ML ; BU_
1163700580115; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 SER PREENCH X 1 ML; BU_
1163700580077; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 AMP VD INC X 1 ML ; BU_
1163700580026; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 FA VD INC X 1 ML ; BU_
1163700580123; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 SER PREENCH X 1 ML; BU_
1163700580085; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 AMP VD INC X 1 ML ; BU_
1163700580034; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 FA VD INC X 1 ML; BU_
1163700580131; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 SER PREENCH X 1 ML; BU_
1163700580093; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML ; BU_
1163700580042; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 FA VD INC X 1 ML; BU_
1163700580141; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 SER PREENCH X 1 ML ; BU_
