1163701010037; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III + 20 DIL AMP PLAS TRANS X 10ML (EMB HOSP); BU_
1163701010045; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III (EMB HOSP); BU_
1163701010053; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 50 FA VD INC TIPO III (EMB HOSP); BU_
1163701010061; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 100 FA VD INC TIPO III (EMB HOSP) ; BU_
1163701010029; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III + 20 DIL AMP VD INC X 10ML (EMB HOSP); BU_
1163700270027; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM CT BL AL AL X 250 (EMB HOSP); BU_
1163700270019; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM CT BL AL AL X 30; BU_
1163700270035; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM CT BL AL AL X 30; BU_
1163700270078; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT 25 BL AL PLAS AMB X 10 (EMB HOSP); BU_
1163700270049; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM REV CT 25 BL AL PLAS AMB X 10 (EMB HOSP); BU_
1163700270048; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM REV CT 3 BL AL PLAS AMB X 10; BU_
1163700270050; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS AMB X 10; BU_
1163700270086; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT BL AL AL X 250 (EMB HOSP); BU_
1163700280014; TEFLUT; TEFLUT; NOT FOUND; 250 MG COM CT 2 BL AL PLAS INC X 10; BU_
