1163700410058; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML; BU_
1163700410082; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML; BU_
1163700410041; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 20 AMP VD AMB X 2 ML; BU_
1163700410074; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 20 AMP VD AMB X 4 ML; BU_
1163700410015; ONTRAX; ONTRAX; NOT FOUND; CLORIDRATO DE ONDANSETRONA 4 MG - CX COM 1 BLISTER DE 10 COMPRIMIDOS; BU_
1163700410023; ONTRAX; ONTRAX; NOT FOUND; CLORIDRATO DE ONDANSETRONA 8 MG - CX COM 1 BLISTER DE 10 COMPRIMIDOS; BU_
1163700720049; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 100 AMP VD INC X 1 ML (EMB HOSP); BU_
1163700720022; OCITOCINA; OCITOCINA; OCITOCINA;  5 UI/ML SOL INJ CT 5 AMP VD INC X 1 ML (EMB HOSP); BU_
1163700720014; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 1 AMP VD INC X 1 ML (EMB HOSP); BU_
1163700720030; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP); BU_
1163700960015; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO INJ CX 20 FA VD INC + 20 AMP DIL VD INC X 10 ML; BU_
1163701110041; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; BU_
1163701110058; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; BU_
1163701110015; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML (EMB  HOSP); BU_
1163701110031; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; BU_
