1163700730011; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; BU_
1163700730028; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML (EMB HOSP); BU_
1163700610014; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10G; BU_
1163700340017; ANCLOMAX; ANCLOMAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; BU_
1163700340025; ANCLOMAX; ANCLOMAX; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 20; BU_
1163700490019; ALBUMAX; ALBUMAX; NOT FOUND; 200MG/ML SOL INJ CT FA X 50ML + EQP; BU_
1163700050019; ALBUMINA HUMANA BLAUSIEGEL; ALBUMINA HUMANA BLAUSIEGEL; NOT FOUND; CX COM 1 FR AMP SOL INJ - 50 ML + EQUIPO; BU_
1163700050019; ALBUMINA HUMANA BLAUSIEGEL; ALBUMINA HUMANA BLAUSIEGEL; NOT FOUND; CX COM 1 FR AMP SOL INJ - 50ML; BU_
1163700590366; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI PO LIOF INJ CX 1 FA VD INC X 1 ML; BU_
1163700590404; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI PO LIOF INJ CX 12 FA VD INC X 1 ML; BU_
1163700590900; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI SOL INJ CT12 AMP VD INC X 1 ML; BU_
1163700590862; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700591151; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700591117; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 1000 UI SOL INJ CX FA VD INC X 1 ML; BU_
1163700591214; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700591168; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 1 SER PREENC X 1 ML; BU_
1163700590668; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 1 SER PREENCH X 0.3 ML; BU_
1163700590714; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 1 SER PREENCH X 0.4 ML; BU_
1163700591257; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 12 AMP VD INC X 1 ML; BU_
1163700591206; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 12 SER PREENC X 1 ML; BU_
1163700590706; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 12 SER PREENCH X 0.3 ML; BU_
1163700590757; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CT 12 SER PREENCH X 0.4 ML; BU_
1163700590358; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700590315; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 10000 UI SOL INJ CX FA VD INC X 1 ML; BU_
1163700590412; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI PO LIOF INJ CX 1 FA VD INC + DIL X 1 ML; BU_
1163700590455; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML; BU_
1163700590919; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700590560; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CT 1 SER PREENCH X 0.5 ML; BU_
1163700590951; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CT 12 AMP VD INC X 1 ML; BU_
1163700590609; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CT 12 SER PREENCH X 0.5 ML; BU_
1163700590250; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700590218; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 2000 UI SOL INJ CX FA VD INC X 1 ML; BU_
1163700590463; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI PO LIOF INJ CX 1 FA VD INC + DIL X 1 ML; BU_
1163700590501; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML; BU_
1163700590961; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700591001; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI SOL INJ CT 12 AMP VD INC X 1 ML; BU_
1163700590511; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI PO LIOF INJ CX 1 FA VD INC + DIL X 1 ML; BU_
1163700590552; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML; BU_
1163700591011; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700590617; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 1 SER PREENCH X 0.5 ML; BU_
1163700590765; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 1 SER PREENCH X 1 ML; BU_
1163700591052; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 12 AMP VD INC X 1 ML; BU_
1163700590651; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 12 SER PREENCH X 0.5 ML; BU_
1163700590803; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CT 12 SER PREENCH X 1 ML; BU_
1163700590307; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700590269; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CX FA VD INC X 1 ML; BU_
1163700591060; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 40000 UI SOL INJ CT 1 AMP VD INC X 1 ML; BU_
1163700590811; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 40000 UI SOL INJ CT 1 SER PREENC X 1 ML; BU_
1163700591109; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 40000 UI SOL INJ CT 12 AMP VD INC X 1 ML; BU_
1163700590854; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 40000 UI SOL INJ CT 12 SER PREENC X 1 ML; BU_
1163700591265; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI/ML SOL INJ CX 1 FA VD INC X 1 ML; BU_
1163700591303; ALFAEPOETINA HUMANA RECOMBINANTE; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 3000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163701080027; ARICILINA; ARICILINA; NOT FOUND; 5.000.000 UI PO INJ CX 50 FA; BU_
1163701210011; ARISTOPRAMIDA; ARISTOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); BU_
1163700591850; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 40000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1ML  + SISTEMA DE SEGURANCA; BU_
1163700591664; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.3 ML  + SISTEMA DE SEGURANCA; BU_
1163700591710; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.4 ML  + SISTEMA DE SEGURANCA; BU_
1163700591761; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA; BU_
1163700591702; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.3 ML  + SISTEMA DE SEGURANCA; BU_
1163700591753; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.4 ML  + SISTEMA DE SEGURANCA; BU_
1163700591801; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA; BU_
1163700591516; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA; BU_
1163700591559; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA; BU_
1163700591567; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA; BU_
1163700591613; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA; BU_
1163700591605; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA; BU_
1163700591656; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA; BU_
1163700591818; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 40000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA; BU_
1163700320016; ANFUGITARIN; ANFUGITARIN; NOT FOUND; CRT. C/1 BISN. AL. 80G + APL. GIN.; BU_
1163700320032; ANFUGITARIN; ANFUGITARIN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC GIN; BU_
1163700320040; ANFUGITARIN; ANFUGITARIN; NOT FOUND; 20 MG/G CREM VAG CT C/ 14 APLIC GIN PLAS X 5 G; BU_
1163700190015; ANFUGINE; ANFUGINE; NOT FOUND; CREME VAGINAL 30MG/G + 20 MG/G. CART. C/ 1 BISNAGA; BU_
1163700190031; ANFUGINE; ANFUGINE; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG X 80G + 14 APLIC ; BU_
1163700190041; ANFUGINE; ANFUGINE; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT C/ 14 APLIC GINEC PLAS X 5G; BU_
