1163700940138; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
1163700940103; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
1163700940049; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940057; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940065; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940073; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940081; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940111; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
1163700940121; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC (EMB HOSP); BU_
1163700940030; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP); BU_
1163700940091; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC (EMB HOSP); BU_
1163700940146; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
1163700850015; DOBUTARISTON; DOBUTARISTON; NOT FOUND; 12.5 MG/ML SOL INJ CX 20 AMP VD INC  X 20 ML; BU_
1163701200014; DOPABANE; DOPABANE; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD INC X 10 ML ; BU_
1163701200022; DOPABANE; DOPABANE; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML ; BU_
1163701040025; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP); BU_
1163701040017; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML (EMB HOSP); BU_
1163700860029; DNAREN; DNAREN; NOT FOUND; 25 MG/ML  SOL INJ CX 50  AMP  VD INC  X 3 ML (EMB HOSP); BU_
1163700420037; DIDANOSIN; DIDANOSIN; NOT FOUND; DIDANOSINA 100 MG - CX COM 1 FRASCO DE 60 COMPRIMIDOS MASTIGAVEIS; BU_
1163700420010; DIDANOSIN; DIDANOSIN; NOT FOUND; DIDANOSINA 25 MG - CX COM 1 FRASCO DE 60 COMPRIMIDOS MASTIGAVEIS; BU_
1163700420029; DIDANOSIN; DIDANOSIN; NOT FOUND; DIDANOSINA 50 MG - CX COM 1 FRASCO DE 60 COMPRIMIDOS MASTIGAVEIS; BU_
