1163701150041; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; BU_
1163701150025; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; BU_
1163701150033; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; BU_
1163700560017; PRESERV; PRESERV; NOT FOUND; 2 % GEL VAG CT BG AL X 40 G + 8 APLIC; BU_
1163700560033; PRESERV; PRESERV; NOT FOUND; 2 % GEL VAG CT 5 BG AL X 5 G; BU_
1163701260017; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 5ML ; BU_
1163701260025; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 16.7ML; BU_
1163701260033; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 50ML; BU_
1163701260041; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 5ML; BU_
1163701260051; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 16.7ML; BU_
1163701260068; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 50ML; BU_
1163701260076; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 5ML; BU_
1163701260084; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 16.7ML; BU_
1163701260092; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 50ML; BU_
1163701260106; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 5ML; BU_
1163701260114; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 16.7ML; BU_
1163701260122; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 50ML; BU_
1163701270012; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX FA VD TRANS + AMP DIL X 10 ML; BU_
1163701270020; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 5 FA VD TRANS + 5 AMP DIL X 10 ML (EMB HOSP); BU_
1163701270039; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 20 FA VD TRANS + 20 AMP DIL X 10 ML (EMB HOSP); BU_
1163701270047; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 50 FA VD TRANS + 50 AMP DIL X 10 ML (EMB HOSP); BU_
1163700460047; PROFOLEN; PROFOLEN; NOT FOUND; 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML; BU_
1163700460055; PROFOLEN; PROFOLEN; NOT FOUND; 10 MG/ML EMU INJ CT 50 AMP VD INC X 20 ML; BU_
