1163701220023; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML; BU_
1163701220015; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; BU_
1163700400036; BLAUBIMAX; BLAUBIMAX; NOT FOUND; 20 PPC SOL INJ CT FR AMP 50ML + EQP; BU_
1163700090010; BLAUBIMAX; BLAUBIMAX; NOT FOUND; CX COM 1 FR AMP SOL INJ - 50ML + EQUIPO - ALBUMINA HUMANA 20%; BU_
1163700090010; BLAUBIMAX; BLAUBIMAX; NOT FOUND; CX COM 1 FR AMP SOL INJ - 50 ML - ALBUMINA HUMANA 20%; BU_
1163700060057; BLAUFERON A; BLAUFERON A; NOT FOUND; 3.000.000 UI/ML SOL INJ CT FA VD INC X 1 ML; BU_
1163700060049; BLAUFERON A; BLAUFERON A; NOT FOUND; 18.000.000 UI PO LIOF INJ CX FA VD INC + AMP DIL X 1 ML; BU_
1163700060081; BLAUFERON A; BLAUFERON A; NOT FOUND; 18.000.000 UI/ML SOL INJ CT SER PREENC X 0.5 ML; BU_
1163700060065; BLAUFERON A; BLAUFERON A; NOT FOUND; 4.500.000 UI/ML SOL INJ CT FA VD INC X 1 ML; BU_
1163700060103; BLAUFERON A; BLAUFERON A; NOT FOUND; 6.000.000 UI/ML SOL INJ CT SER PREENC X 0.5 ML; BU_
1163700060073; BLAUFERON A; BLAUFERON A; NOT FOUND; 9.000.000 UI/ML SOL INJ CT FA VD INC X 1 ML; BU_
1163700060091; BLAUFERON A; BLAUFERON A; NOT FOUND; 9.000.000 UI/ML SOL INJ CT SER PREENC X 0.5 ML; BU_
1163700060014; BLAUFERON ALFA – 2A; BLAUFERON ALFA 2A; NOT FOUND; 3 M.U.I. INTERFERON ALFA 2A 3 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700060022; BLAUFERON ALFA – 2A; BLAUFERON ALFA 2A; NOT FOUND; 4.5 M.U.I. INTERFERON ALFA 2A - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700060030; BLAUFERON ALFA – 2A; BLAUFERON ALFA 2A; NOT FOUND; 9 M.U.I. INTERFERON ALFA 2A 9 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700070044; BLAUFERON ALFA – 2B; BLAUFERON ALFA 2B; NOT FOUND; 10 M.U.I. INTERFERON ALFA 2B - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700070028; BLAUFERON ALFA – 2B; BLAUFERON ALFA 2B; NOT FOUND; 3 M.U.I. INTERFERON ALFA 2B 3 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700070036; BLAUFERON ALFA – 2B; BLAUFERON ALFA 2B; NOT FOUND; 5 M.U.I. INTERFERON ALFA 2B 5 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE; BU_
1163700070109; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 3.000.000 UI - CT. SER-PREENC X 0.5ML SOL. INJ.; BU_
1163700070117; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 5.000.000 UI - CT. SER-PREENC X 0.5ML SOL. INJ.; BU_
1163700070011; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 1.000.000 UI PO LI - CX FR AMP VD INC 1ML + DIL; BU_
1163700070060; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 10.000.000 UI - CX FR AMP VD INC 1ML SOL INJ; BU_
1163700070052; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 10.000.000 UI - CX FR AMP VD INC 2ML SOL INJ; BU_
1163700070095; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 18.000.000 UI - CX FR AMP VD INC 3ML SOL INJ; BU_
1163700070087; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 25.000.000 UI - CX FR AMP VD INC 2.5ML SOL INJ; BU_
1163700070079; BLAUFERON B-INTERFERON ALFA 2B; BLAUFERON B INTERFERON ALFA 2B; NOT FOUND; 25.000.000 UI - CX FR AMP VD INC 5ML SOL INJ; BU_
1163700140018; B-PLATIN; B PLATIN; NOT FOUND; CX COM 1 FR AMP DE PO LIOFILO INJ; BU_
1163700140026; B-PLATIN; B PLATIN; NOT FOUND; 10 MG / ML    SOL INJ CT FA VD AMB X 5 ML; BU_
1163700140042; B-PLATIN; B PLATIN; NOT FOUND; 10 MG / ML SOL INJ CT  FA VD AMB X 45 ML; BU_
1163700140034; B-PLATIN; B PLATIN; NOT FOUND; 10 MG / ML SOL INJ CT FA VD AMB X 15 ML; BU_
1163700150021; BLAUGLOBULINA IMUNOGLOBULINA HUMANA; BLAUGLOBULINA IMUNOGLOBULINA HUMANA; NOT FOUND; 2.5 G - CX COM 1 FR AMP DE PO LIOFILO INJ; BU_
1163700150031; BLAUGLOBULINA IMUNOGLOBULINA HUMANA; BLAUGLOBULINA IMUNOGLOBULINA HUMANA; NOT FOUND; 50 G - CX COM 1 FR AMP DE PO LIOFILO INJ; BU_
1163700480013; BLAUIMUNO; BLAUIMUNO; NOT FOUND; 0.6 G PO LIOF INJ CT FR AMP + DIL X 10 ML + EQP; BU_
1163700480021; BLAUIMUNO; BLAUIMUNO; NOT FOUND; 3.0 G PO LIOF INJ CT FR AMP + DIL X 50 ML + EQP; BU_
1163700480031; BLAUIMUNO; BLAUIMUNO; NOT FOUND; 9.0 G PO LIOF INJ CT FR AMP + DIL X 150 ML + EQP; BU_
