1163700980016; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; BU_
1163700980024; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; BU_
1163700980075; CILINON; CILINON; NOT FOUND; 500MG PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; BU_
1163700980091; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5ML; BU_
1163700980105; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; BU_
1163700980067; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
1163700980059; CILINON; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; BU_
1163701000066; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC; BU_
1163701000090; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL PLAS X 5 ML; BU_
1163701000015; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL VD X 5 ML ; BU_
1163701000082; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC; BU_
1163701000058; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL VD X 5 ML ; BU_
1163701000074; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC; BU_
1163701000031; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML ; BU_
1163701000041; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML ; BU_
1163701000023; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL VD X 5 ML ; BU_
1163701100036; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
1163701100028; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL VD X 5 ML; BU_
1163701100011; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL VD X 5 ML; BU_
1163701100044; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; BU_
1163701100052; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; BU_
1163700910123; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL PLAS X 5 ML ; BU_
1163700910158; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
1163700910131; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; BU_
1163700910141; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; BU_
1163700910107; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL VD X 5 ML; BU_
1163700870075; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
1163700870067; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 2 ML (IM); BU_
1163700870083; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
1163701230010; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CT 1 FA VD INC ; BU_
1163701230029; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 20 FA VD INC (EMB HOSP); BU_
1163701230037; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 50 FA VD INC (EMB HOSP); BU_
1163701230045; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 100 FA VD INC (EMB HOSP); BU_
1163701230053; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 25 FA VD INC (EMB FRAC); BU_
1163701230061; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 40 FA VD INC (EMB FRAC); BU_
1163700800042; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC  ; BU_
1163700800026; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + DIL X 10 ML ; BU_
1163700800034; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + AMP DIL PLAS X 10 ML ; BU_
1163700800050; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
1163700970010; CINTON; CINTON; NOT FOUND; 150 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); BU_
1163701090014; CIFLOXTRON; CIFLOXTRON; NOT FOUND; 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML (EMB HOSP); BU_
1163700390014; C-PLATIN; C PLATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 20 ML; BU_
1163700390022; C-PLATIN; C PLATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 100 ML; BU_
1163700390030; C-PLATIN; C PLATIN; NOT FOUND; 1 MG/ML SOL INJ CT FA VD AMB X 100 ML ; BU_
1163700390073; C-PLATIN; C PLATIN; NOT FOUND; 1 MG/ML SOL INJ CT FA VD AMB X 50 ML; BU_
1163700520015; CITARAX; CITARAX; NOT FOUND; 100MG/ML SOL. INJ. - CRT C/10 AMP DE 5ML; BU_
1163700520023; CITARAX; CITARAX; NOT FOUND; 500MG/ML SOL. INJ. - CRT C/10 AMP DE 10ML; BU_
1163700520041; CITARAX; CITARAX; NOT FOUND; 50 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; BU_
1163700520031; CITARAX; CITARAX; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; BU_
1163700770011; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF SOL INJ IV CT FA VD INC X 13 ML ; BU_
1163700770021; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1000 MG PO LIOF SOL INJ IV CT FA VD INC X 50 ML; BU_
1163700680012; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CT FA VD INC X 20 ML ; BU_
1163700680020; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 12 FA VD INC X 20 ML (EMB HOSP); BU_
1163700920021; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC ; BU_
1163700920013; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC + 20 AMP DIL X 10 ML; BU_
1163700920031; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 100 FA VD INC ; BU_
1163700920048; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ FA VD INC TIPO I + AMP DIL X 10 ML; BU_
1163700920056; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I + 20 AMP DIL X 10 ML (EMB HOSP); BU_
1163700920064; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I + 20 AMP DIL PLAS X 10 ML  (EMB HOSP); BU_
1163700920072; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I (EMB HOSP); BU_
1163700920080; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 100 FA VD INC TIPO I (EMB HOSP); BU_
1163701030021; CLINDARIX; CLINDARIX; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 4 ML; BU_
1163701030038; CLINDARIX; CLINDARIX; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 6 ML; BU_
