4805; GARDENAL ; GARDENAL; NOT FOUND; CPR 100 MG x 20; S_A
28012; GARDENAL ; GARDENAL; NOT FOUND; CPR 50 MG x 20; S_A
28224; GARDENAL ; GARDENAL; NOT FOUND; GOTAS INF 40 MG 20 ML x 1 (/ML); S_A
47705; GINO-LOPROX ; GINO LOPROX; NOT FOUND; CR.VAG. 6APL 1 % 35 G x 1; S_A
77018; GLIBENCLAMIDA MG ; GLIBENCLAMIDA; GLIBENCLAMIDA; CPR 5 MG x 30; S_A
77019; GLIBENCLAMIDA MG ; GLIBENCLAMIDA; GLIBENCLAMIDA; CPR 5 MG x 60; S_A
73556; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 1 MG x 30; S_A
73557; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; S_A
73558; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 60; S_A
73559; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; S_A
73560; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 60; S_A
