30244, TARGIFOR , TARGIFOR, NOT FOUND, CPR EFER 1.50 G x 20, S_A
31977, TARGIFOR C , TARGIFOR C, NOT FOUND, CPR EFER x 16, S_A
46624, TARGIFOR C , TARGIFOR C, NOT FOUND, CPR EFER x 16 (INF), S_A
79623, TARGIFOR C , TARGIFOR C, NOT FOUND, CPR REVEST x 30, S_A
79624, TARGIFOR C , TARGIFOR C, NOT FOUND, CPR REVEST x 60, S_A
93583, TARGIFOR C , TARGIFOR C, NOT FOUND, CPR REVEST x 90, S_A
48575, TARGOCID , TARGOCID, NOT FOUND, F.AMP SOLV 400 MG 3 ML x 1, S_A
48574, TARGOCID , TARGOCID, NOT FOUND, F.AMP SOLV 200 MG 3 ML x 1, S_A
53183, TAVANIC , TAVANIC, NOT FOUND, CPR REVEST 500 MG x 7, S_A
94562, TAXOTERE , TAXOTERE, NOT FOUND, F AMP IV 80 MG 4 ML x 1, S_A
94561, TAXOTERE , TAXOTERE, NOT FOUND, F AMP IV 20 MG 1 ML x 1, S_A
51269, TAXOTERE , TAXOTERE, NOT FOUND, F.AMP SOLV 20 MG 0.50 ML x 1, S_A
51270, TAXOTERE , TAXOTERE, NOT FOUND, F.AMP SOLV 80 MG 2 ML x 1, S_A
30464, TIAPRIDAL , TIAPRIDAL, NOT FOUND, CPR 100 MG x 20, S_A
33505, TICLID , TICLID, NOT FOUND, DRAG 250 MG x 20, S_A
59423, TOPLEXIL , TOPLEXIL, NOT FOUND, XAR. INF 100 ML x 1, S_A
59424, TOPLEXIL , TOPLEXIL, NOT FOUND, XAROPE 100 ML x 1 (ADLT), S_A
10481, TRANXILENE , TRANXILENE, NOT FOUND, CAPS 5 MG x 20, S_A
10482, TRANXILENE , TRANXILENE, NOT FOUND, CAPS 10 MG x 20, S_A
30890, TRENTAL , TRENTAL, NOT FOUND, DRAG 400 MG x 20, S_A
55077, TRENTAL , TRENTAL, NOT FOUND, C.VER.REV.AP 600 MG x 20, S_A
31107, TRENTAL , TRENTAL, NOT FOUND, AMP. 100 MG 5 ML x 5, S_A
53560, TRIATEC , TRIATEC, NOT FOUND, CPR 2.50 MG x 30, S_A
53561, TRIATEC , TRIATEC, NOT FOUND, CPR 5 MG x 30, S_A
59637, TRIATEC , TRIATEC, NOT FOUND, CPR 2.50 MG x 15, S_A
59638, TRIATEC , TRIATEC, NOT FOUND, CPR 5 MG x 15, S_A
61762, TRIATEC , TRIATEC, NOT FOUND, CAPS PREVENT 10 MG x 15, S_A
61763, TRIATEC , TRIATEC, NOT FOUND, CAPS PREVENT 10 MG x 30, S_A
54625, TRIATEC D , TRIATEC D, NOT FOUND, CPR x 30, S_A
49368, TRIFIBRA MIX , TRIFIBRA MIX, NOT FOUND, POLVO ENVELO 5 G x 12, S_A
49369, TRIFIBRA MIX , TRIFIBRA MIX, NOT FOUND, POLVO ENVELO 5 G x 30, S_A
31201, TRIMEXAZOL 800 , TRIMEXAZOL 800, NOT FOUND, CPR 800 MG x 10 (/160), S_A
10581, TRINESTRYL A.P. , TRINESTRYL A P, NOT FOUND, A.IM 2 ML x 1, S_A
