57922, AAS , AAS, NOT FOUND, CPR 100 MG x 120 (INF), S_A
11, AAS , AAS, NOT FOUND, CPR 100 MG x 200 (INF), S_A
50641, AAS , AAS, NOT FOUND, CPR 100 MG x 30 (INF), S_A
50640, AAS , AAS, NOT FOUND, CPR 500 MG x 20 (ADLT), S_A
33172, AAS , AAS, NOT FOUND, CPR 500 MG x 200 (ADLT), S_A
10, AAS , AAS, NOT FOUND, CPR 500 MG x 500 (ADLT), S_A
71659, AAS PROTECT , AAS PROTECT, NOT FOUND, CPR REVEST 100 MG x 30, S_A
77043, ACTONEL , ACTONEL, NOT FOUND, CPR REVEST 150 MG x 1, S_A
60981, ACTONEL , ACTONEL, NOT FOUND, CPR REVEST 35 MG x 2, S_A
60983, ACTONEL , ACTONEL, NOT FOUND, CPR REVEST 35 MG x 4, S_A
56661, ACTONEL , ACTONEL, NOT FOUND, CPR REVEST 5 MG x 14, S_A
56662, ACTONEL , ACTONEL, NOT FOUND, CPR REVEST 5 MG x 28, S_A
152, ADEROGIL-D3 , ADEROGIL D3, NOT FOUND, GOTAS 10 ML x 1, S_A
150, ADEROGIL-D3 AMPOLA , ADEROGIL D3 AMPOLA, NOT FOUND, AMP.OR 3 ML x 3, S_A
151, ADEROGIL-D3 AMPOLA , ADEROGIL D3 AMPOLA, NOT FOUND, AMP.OR 3 ML x 50, S_A
32348, AGREAL , AGREAL, NOT FOUND, CAPS 100 MG x 20, S_A
52801, ALLEGRA , ALLEGRA, NOT FOUND, CAPS 60 MG x 10, S_A
52802, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 120 MG x 10, S_A
72451, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 120 MG x 5, S_A
52803, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 180 MG x 10, S_A
72452, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 180 MG x 5, S_A
56664, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 30 MG x 20, S_A
63647, ALLEGRA , ALLEGRA, NOT FOUND, CPR REVEST 60 MG x 10, S_A
75103, ALLEGRA , ALLEGRA, NOT FOUND, SUSP PED 6 MG 150 ML x 1 (/ML), S_A
75267, ALLEGRA , ALLEGRA, NOT FOUND, SUSP PED 6 MG 60 ML x 1 (/ML), S_A
54568, ALLEGRA D , ALLEGRA D, NOT FOUND, CPR REVEST x 10, S_A
63648, ALLEGRA D , ALLEGRA D, NOT FOUND, CPR REVEST x 6, S_A
51619, AMARYL , AMARYL, NOT FOUND, CPR 1 MG x 30, S_A
51620, AMARYL , AMARYL, NOT FOUND, CPR 2 MG x 30, S_A
76392, AMARYL , AMARYL, NOT FOUND, CPR 3 MG x 30, S_A
53589, AMARYL , AMARYL, NOT FOUND, CPR 4 MG x 30, S_A
76391, AMARYL , AMARYL, NOT FOUND, CPR 6 MG x 30, S_A
74989, AMARYL FLEX , AMARYL FLEX, NOT FOUND, CPR SULCADO 1 MG x 150 (/500), S_A
74990, AMARYL FLEX , AMARYL FLEX, NOT FOUND, CPR SULCADO 2 MG x 150 (/500), S_A
585, AMPLICTIL , AMPLICTIL, NOT FOUND, AMP. 25 MG x 5, S_A
28197, AMPLICTIL , AMPLICTIL, NOT FOUND, CPR 25 MG x 20, S_A
28198, AMPLICTIL , AMPLICTIL, NOT FOUND, GOTAS 40 MG 20 ML x 1 (/ML), S_A
587, AMPLICTIL PSIQUIA. , AMPLICTIL PSIQUIA, NOT FOUND, CPR 100 MG x 20, S_A
814, ANTIETANOL , ANTIETANOL, NOT FOUND, CPR 250 MG x 20, S_A
57673, ANZEMET , ANZEMET, NOT FOUND, F.IV 100 MG 5 ML x 1, S_A
75325, APIDRA , APIDRA, NOT FOUND, CAN SOLOSTAR 3 ML x 1, S_A
75105, APIDRA , APIDRA, NOT FOUND, F.AMP 100 IU 10 ML x 1, S_A
75104, APIDRA , APIDRA, NOT FOUND, REFILL 100 IU 3 ML x 1, S_A
53017, APROVEL , APROVEL, NOT FOUND, CPR 150 MG x 14, S_A
53018, APROVEL , APROVEL, NOT FOUND, CPR 150 MG x 28, S_A
53019, APROVEL , APROVEL, NOT FOUND, CPR 300 MG x 14, S_A
53020, APROVEL , APROVEL, NOT FOUND, CPR 300 MG x 28, S_A
80864, APROVEL , APROVEL, NOT FOUND, CPR REVEST 150 MG x 30, S_A
80863, APROVEL , APROVEL, NOT FOUND, CPR REVEST 300 MG x 30, S_A
57006, APROZIDE , APROZIDE, NOT FOUND, CPR 150 MG x 14 (/12), S_A
57007, APROZIDE , APROZIDE, NOT FOUND, CPR 150 MG x 28 (/12), S_A
95777, APROZIDE , APROZIDE, NOT FOUND, CPR 150 MG x 30 (/12), S_A
57008, APROZIDE , APROZIDE, NOT FOUND, CPR 300 MG x 14 (/12), S_A
95778, APROZIDE , APROZIDE, NOT FOUND, CPR 300 MG x 14 (/25), S_A
57009, APROZIDE , APROZIDE, NOT FOUND, CPR 300 MG x 28 (/12), S_A
80053, APROZIDE , APROZIDE, NOT FOUND, CPR 300 MG x 30 (/12), S_A
54961, ARAVA , ARAVA, NOT FOUND, CPR REVEST 100 MG x 3, S_A
54960, ARAVA , ARAVA, NOT FOUND, CPR REVEST 20 MG x 30, S_A
49301, ARELIX , ARELIX, NOT FOUND, CAPS 6 MG x 20, S_A
922, ARGYROPHEDRINE , ARGYROPHEDRINE, NOT FOUND, GOTAS NASAL 20 ML x 1, S_A
31607, ATLANSIL , ATLANSIL, NOT FOUND, AMP. 150 MG 3 ML x 50, S_A
31606, ATLANSIL , ATLANSIL, NOT FOUND, AMP. 150 MG 3 ML x 6, S_A
56100, ATLANSIL , ATLANSIL, NOT FOUND, CPR 100 MG x 20, S_A
30739, ATLANSIL , ATLANSIL, NOT FOUND, CPR 200 MG x 20, S_A
62430, ATURGYL NF , ATURGYL NF, NOT FOUND, SPRAY NASAL 0.50 MG 15 ML x 1 (/ML), S_A
