49253; SABRIL ; SABRIL; NOT FOUND; CPR 500 MG x 60; S_A
52048; SECNIDAL ; SECNIDAL; NOT FOUND; CPR 1000 MG x 2; S_A
55394; SECNIDAL ; SECNIDAL; NOT FOUND; CPR 1000 MG x 4; S_A
46718; SECNIDAL ; SECNIDAL; NOT FOUND; CPR 500 MG x 4; S_A
50665; SECNIDAL ; SECNIDAL; NOT FOUND; SUSP EXT. 30 MG 15 ML x 1 (/ML); S_A
50666; SECNIDAL ; SECNIDAL; NOT FOUND; SUSP EXT. 30 MG 30 ML x 1 (/ML); S_A
73579; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 2; S_A
73580; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 4; S_A
9490; SETUX ; SETUX; NOT FOUND; SUSP 100 ML x 1; S_A
29966; SILENCIUM ; SILENCIUM; NOT FOUND; PASTILLAS x 20; S_A
9503; SILENCIUM ; SILENCIUM; NOT FOUND; XAROPE 100 ML x 1; S_A
76488; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; S_A
47382; SOCIAN ; SOCIAN; NOT FOUND; CPR 50 MG x 20; S_A
53060; SOCIAN 200 ; SOCIAN 200; NOT FOUND; CPR 200 MG x 20; S_A
52052; STILNOX ; STILNOX; NOT FOUND; CPR 10 MG x 10; S_A
50668; STILNOX ; STILNOX; NOT FOUND; CPR 10 MG x 20; S_A
80050; STILNOX CR ; STILNOX CR; NOT FOUND; CPR 12.5 MG x 20; S_A
80051; STILNOX CR ; STILNOX CR; NOT FOUND; CPR 6.25 MG x 20; S_A
75433; SULF.HIDROXICLO MG ; SULF HIDROXICLO; NOT FOUND; CPR REVEST 400 MG x 30; S_A
30838; SULPAN ; SULPAN; NOT FOUND; CAPS x 20; S_A
46837; SUPERAN ; SUPERAN; NOT FOUND; AMP. 50 MG 2 ML x 6; S_A
46838; SUPERAN ; SUPERAN; NOT FOUND; CPR 50 MG x 20; S_A
46839; SUPERAN ; SUPERAN; NOT FOUND; GOTAS 12 MG 30 ML x 1 (/ML); S_A
51722; SUPREFACT DEPOT ; SUPREFACT DEPOT; NOT FOUND; J.SC IMP 6.30 MG x 1; S_A
49667; SYLADOR ; SYLADOR; NOT FOUND; AMP. 100 MG x 6; S_A
48132; SYLADOR ; SYLADOR; NOT FOUND; AMP. 50 MG 1 ML x 6; S_A
48133; SYLADOR ; SYLADOR; NOT FOUND; CPR 50 MG x 10; S_A
48134; SYLADOR ; SYLADOR; NOT FOUND; SOLN 50 MG 10 ML x 1 (/ML); S_A
