76524; BENOFLEX P ; BENOFLEX P; NOT FOUND; CPR x 12; S_A
86088; BENOFLEX P ; BENOFLEX P; NOT FOUND; CPR x 120; S_A
76525; BENOFLEX P ; BENOFLEX P; NOT FOUND; CPR x 200; S_A
1393; BENZO-GYNOEST A.P. ; BENZO GYNOEST A P; NOT FOUND; AMP. 5 MG 1 ML x 2; S_A
74581; BENZOILMETRONID.MG ; BENZOILMETRONID; NOT FOUND; SUSP PED 40 MG 100 ML x 1 (/ML); S_A
155056; BGSTAR ; BGSTAR; NOT FOUND; DISPO S/T x 1; S_A
155057; BGSTAR ; BGSTAR; NOT FOUND; LANCETAS x 100; S_A
155055; BGSTAR ; BGSTAR; NOT FOUND; MON GL S/T x 1; S_A
155058; BGSTAR ; BGSTAR; NOT FOUND; TIRAS TESTE x 50; S_A
51534; BI-PROFENID ; BI PROFENID; NOT FOUND; CPR 150 MG x 10; S_A
1830; BUCLINA ; BUCLINA; NOT FOUND; CPR 25 MG x 20; S_A
