32671, LADOGAL , LADOGAL, NOT FOUND, CAPS 100 MG x 50, S_A
44604, LADOGAL , LADOGAL, NOT FOUND, CAPS 200 MG x 30, S_A
62540, LANTUS , LANTUS, NOT FOUND, F.AMP REFIL 100 IU 3 ML x 1 (/ML), S_A
62541, LANTUS , LANTUS, NOT FOUND, F.AMP REFIL 100 IU 3 ML x 5 (/ML), S_A
75130, LANTUS , LANTUS, NOT FOUND, C P-ENC SOLO 100 IU 3 ML x 1 (/ML), S_A
64717, LANTUS , LANTUS, NOT FOUND, OPTISET 100 IU 3 ML x 5 (/ML), S_A
64718, LANTUS , LANTUS, NOT FOUND, OPTISET 100 IU 3 ML x 1 (/ML), S_A
62539, LANTUS , LANTUS, NOT FOUND, F.AMP 100 IU 10 ML x 1 (/ML), S_A
46606, LASILACTONA , LASILACTONA, NOT FOUND, CAPS 100 MG x 30 (/20), S_A
6013, LASIX , LASIX, NOT FOUND, CPR 40 MG x 20, S_A
6010, LASIX , LASIX, NOT FOUND, AMP. 20 MG 2 ML x 5, S_A
47379, LOPROX , LOPROX, NOT FOUND, CREME 1 % 20 G x 1, S_A
47380, LOPROX , LOPROX, NOT FOUND, SOLN TOP. 1 % 15 ML x 1, S_A
51253, LOPROX , LOPROX, NOT FOUND, ESMALTE 3 G x 1, S_A
144316, LYXUMIA , LYXUMIA, NOT FOUND, CAN ENC 20 Y 3 ML x 2, S_A
144319, LYXUMIA , LYXUMIA, NOT FOUND, C1X10Y+1X20Y 3 ML x 2, S_A
