75419, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, S_A
75662, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, S_A
73575, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVES.LP 400 MG x 20, S_A
73576, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVES.LP 400 MG x 30, S_A
69867, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR MASC 230 MG x 200, S_A
69866, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR MASC 230 MG x 50, S_A
8235, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR 230 MG x 100, S_A
58311, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR 230 MG x 30, S_A
8236, PEPSAMAR , PEPSAMAR, NOT FOUND, GEL. 230 MG 240 ML x 1 (/5ML), S_A
59666, PEPSAPLUS , PEPSAPLUS, NOT FOUND, SUSP 240 ML x 1, S_A
51118, PERIODONTIL , PERIODONTIL, NOT FOUND, CPR x 20, S_A
32554, PIPORTIL L4 , PIPORTIL L4, NOT FOUND, AMP. RETARD 100 MG 4 ML x 1, S_A
32553, PIPORTIL L4 , PIPORTIL L4, NOT FOUND, AMP. RETARD 25 MG 1 ML x 3, S_A
50075, PLAQUINOL , PLAQUINOL, NOT FOUND, CPR 400 MG x 30, S_A
8404, PLASIL , PLASIL, NOT FOUND, AMP. 10 MG 2 ML x 100, S_A
8409, PLASIL , PLASIL, NOT FOUND, CPR 10 MG x 20, S_A
8410, PLASIL , PLASIL, NOT FOUND, GOTAS 10 MG 10 ML x 1 (/ML), S_A
46225, PLASIL , PLASIL, NOT FOUND, SOLN 5 MG 100 ML x 1 (/5ML), S_A
78410, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 300 MG x 4, S_A
55776, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 14, S_A
56629, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 28, S_A
70085, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 98, S_A
77075, PLAVIX PROTECT , PLAVIX PROTECT, NOT FOUND, CPR REVEST 75 MG x 28 (/100), S_A
77074, PLAVIX PROTECT , PLAVIX PROTECT, NOT FOUND, CPR REVEST 75 MG x 56 (/100), S_A
50625, PREDNISOLON , PREDNISOLON, NOT FOUND, SOLN 5 MG 100 ML x 1 (/5ML), S_A
50003, PRIMACOR , PRIMACOR, NOT FOUND, INFUSAO I.V 1 MG 20 ML x 1 (/ML), S_A
79291, PRIMACOR , PRIMACOR, NOT FOUND, VIAL I.V 1 MG 10 ML x 10 (/ML), S_A
8688, PROFENID , PROFENID, NOT FOUND, CAPS 50 MG x 24, S_A
95781, PROFENID , PROFENID, NOT FOUND, CPR ENT COAT 100 MG x 3, S_A
49284, PROFENID , PROFENID, NOT FOUND, CPR ENT.COAT 100 MG x 20, S_A
41996, PROFENID , PROFENID, NOT FOUND, CPR ENT.RET. 200 MG x 10, S_A
42795, PROFENID , PROFENID, NOT FOUND, F.AMP LIOF 100 MG x 6, S_A
51567, PROFENID , PROFENID, NOT FOUND, F.IV LIOF 100 MG x 50, S_A
29354, PROFENID , PROFENID, NOT FOUND, SUP. 100 MG x 10, S_A
