2933, DACTIL-OB , DACTIL OB, NOT FOUND, DRAG x 30, S_A
2949, DAONIL , DAONIL, NOT FOUND, CPR 5 MG x 30, S_A
80689, DEPURA , DEPURA, NOT FOUND, GOTAS 5600 IU 20 ML x 1 (/ML), S_A
150193, DEPURA , DEPURA, NOT FOUND, GOTAS L3P2 200 IU 20 ML x 3, S_A
80688, DEPURA , DEPURA, NOT FOUND, GOTAS 5600 IU 10 ML x 1 (/ML), S_A
150192, DEPURA , DEPURA, NOT FOUND, GOTAS 200 IU 30 ML x 1, S_A
87334, DEPURA KIDS , DEPURA KIDS, NOT FOUND, GOTAS 5600 IU 10 ML x 1 (/ML), S_A
75929, DERMACYD , DERMACYD, NOT FOUND, K1X1 FEM+BRE 320 ML x 1, S_A
93811, DERMACYD , DERMACYD, NOT FOUND, LIQ FEMI 24H 200 ML x 1, S_A
120475, DERMACYD , DERMACYD, NOT FOUND, LIQ 24H NEUT 200 ML x 1, S_A
93810, DERMACYD , DERMACYD, NOT FOUND, LIQ DELI 24H 200 ML x 1, S_A
93808, DERMACYD , DERMACYD, NOT FOUND, LIQ BREE 24H 200 ML x 1, S_A
130492, DERMACYD , DERMACYD, NOT FOUND, S L FEMI 24H 250 ML x 1, S_A
80504, DERMACYD , DERMACYD, NOT FOUND, K PROMO FEMI 200 ML x 1, S_A
75928, DERMACYD , DERMACYD, NOT FOUND, K1X1 DEL+BRE 320 ML x 1, S_A
93804, DERMACYD , DERMACYD, NOT FOUND, K 24H FEM+FE 300 ML x 1, S_A
93803, DERMACYD , DERMACYD, NOT FOUND, K 24H DEL+DE 300 ML x 1, S_A
80506, DERMACYD , DERMACYD, NOT FOUND, K PROMO DELI 200 ML x 1, S_A
130493, DERMACYD , DERMACYD, NOT FOUND, S L DELI 24H 250 ML x 1, S_A
69877, DERMACYD , DERMACYD, NOT FOUND, KIT1X1 FE/AL 200 ML x 1, S_A
80507, DERMACYD , DERMACYD, NOT FOUND, K PROMO BREE 200 ML x 1, S_A
73435, DERMACYD , DERMACYD, NOT FOUND, KIT1X1 F/LEN 200 ML x 1, S_A
71669, DERMACYD , DERMACYD, NOT FOUND, KIT 1X1 D/NE 200 ML x 1, S_A
93806, DERMACYD , DERMACYD, NOT FOUND, L T SW F 24H 120 ML x 1, S_A
130494, DERMACYD , DERMACYD, NOT FOUND, S L BREE 24H 250 ML x 1, S_A
75022, DERMACYD , DERMACYD, NOT FOUND, KIT1X1 B/LEN 200 ML x 1, S_A
85716, DERMACYD , DERMACYD, NOT FOUND, KIT DELICAT 220 ML x 1, S_A
73434, DERMACYD , DERMACYD, NOT FOUND, KIT1X1 D/LEN 200 ML x 1, S_A
85718, DERMACYD , DERMACYD, NOT FOUND, KIT FEMINA 220 ML x 1, S_A
70405, DERMACYD , DERMACYD, NOT FOUND, LIQD DELIC 200 ML x 1, S_A
155059, DERMACYD , DERMACYD, NOT FOUND, L DEL F 24H 200 ML x 1, S_A
155060, DERMACYD , DERMACYD, NOT FOUND, L FEM F 24H 200 ML x 1, S_A
155061, DERMACYD , DERMACYD, NOT FOUND, L BRE F 24H 200 ML x 1, S_A
74393, DERMACYD , DERMACYD, NOT FOUND, LIQ BREEZE 200 ML x 1, S_A
71611, DERMACYD , DERMACYD, NOT FOUND, KIT1X1 F/NE 200 ML x 1, S_A
59762, DERMACYD , DERMACYD, NOT FOUND, LIQD FEMINA 200 ML x 1, S_A
155063, DERMACYD , DERMACYD, NOT FOUND, LIQ NEU FO 200 ML x 1, S_A
93802, DERMACYD , DERMACYD, NOT FOUND, K 24H BRE+BR 300 ML x 1, S_A
93805, DERMACYD , DERMACYD, NOT FOUND, L T F MI 24H 120 ML x 1, S_A
91095, DERMACYD , DERMACYD, NOT FOUND, LIQ FEM FLOR 100 ML x 1, S_A
95230, DERMACYD , DERMACYD, NOT FOUND, LIQ FEMI 24H 100 ML x 1, S_A
74394, DERMACYD , DERMACYD, NOT FOUND, LIQ 2X1 200 ML x 1, S_A
93809, DERMACYD , DERMACYD, NOT FOUND, LIQ DELI 24H 100 ML x 1, S_A
33820, DERMACYD , DERMACYD, NOT FOUND, LIQD 200 ML x 1, S_A
75438, DERMACYD , DERMACYD, NOT FOUND, L T SWEET FL 120 ML x 1, S_A
75439, DERMACYD , DERMACYD, NOT FOUND, L T FRES MIX 120 ML x 1, S_A
76550, DERMACYD , DERMACYD, NOT FOUND, K FEM+T S FL 320 ML x 1, S_A
76551, DERMACYD , DERMACYD, NOT FOUND, K DEL+T F MI 320 ML x 1, S_A
78409, DERMACYD , DERMACYD, NOT FOUND, K T F MI+NEC 120 ML x 1, S_A
78412, DERMACYD , DERMACYD, NOT FOUND, K T S FL+NEC 120 ML x 1, S_A
80495, DERMACYD , DERMACYD, NOT FOUND, K DELICA+COL 200 ML x 1, S_A
80498, DERMACYD , DERMACYD, NOT FOUND, K BREEZE+TOA 200 ML x 1, S_A
80500, DERMACYD , DERMACYD, NOT FOUND, K DELICA+TOA 200 ML x 1, S_A
80502, DERMACYD , DERMACYD, NOT FOUND, K FEMI+TOA 200 ML x 1, S_A
81176, DERMACYD , DERMACYD, NOT FOUND, KIT DUO FEM 400 ML x 1, S_A
84794, DERMACYD , DERMACYD, NOT FOUND, L FEM PROMO 120 ML x 1, S_A
85714, DERMACYD , DERMACYD, NOT FOUND, KIT BREZZE 220 ML x 1, S_A
91099, DERMACYD , DERMACYD, NOT FOUND, K FEM+FEM FL 300 ML x 1, S_A
93807, DERMACYD , DERMACYD, NOT FOUND, LIQ BREE 24H 100 ML x 1, S_A
73468, DERMACYD , DERMACYD, NOT FOUND, POCKET L SAC x 10, S_A
72940, DERMACYD , DERMACYD, NOT FOUND, POCKET LENCO x 12, S_A
59763, DERMACYD , DERMACYD, NOT FOUND, LIQD INF 200 ML x 1, S_A
112798, DERMACYD , DERMACYD, NOT FOUND, K1X1 INF+INF 300 ML x 1, S_A
72513, DERMACYD , DERMACYD, NOT FOUND, K1X1 INF/ES 200 ML x 1, S_A
155062, DERMACYD , DERMACYD, NOT FOUND, LIQ INFA FO 200 ML x 1, S_A
75930, DERMACYD , DERMACYD, NOT FOUND, K1X1 INF+INF 320 ML x 1, S_A
52271, DERMATOP , DERMATOP, NOT FOUND, POMAD.BISNAG 0.25 % 20 G x 1, S_A
49394, DERMATOP , DERMATOP, NOT FOUND, CREME 0.25 % 20 G x 1, S_A
44049, DICORANTIL , DICORANTIL, NOT FOUND, CAPS 250 MG x 16 (FORT), S_A
3286, DIENPAX , DIENPAX, NOT FOUND, CPR 10 MG x 20, S_A
3289, DIENPAX , DIENPAX, NOT FOUND, CPR 5 MG x 20, S_A
3296, DIENTRIN , DIENTRIN, NOT FOUND, CPR 400 MG x 12 (/80), S_A
3297, DIENTRIN , DIENTRIN, NOT FOUND, CPR 400 MG x 120 (/80), S_A
3298, DIENTRIN , DIENTRIN, NOT FOUND, SUSP 240 MG 60 ML x 1 (/5ML), S_A
42322, DIGESAN , DIGESAN, NOT FOUND, GOTAS INF 4 MG 20 ML x 1 (/ML), S_A
30161, DIGESAN , DIGESAN, NOT FOUND, CAPS 10 MG x 20, S_A
30612, DIGESAN , DIGESAN, NOT FOUND, SOLN 1 MG 120 ML x 1 (/ML), S_A
53985, DIGESAN , DIGESAN, NOT FOUND, AMP. 10 MG 2 ML x 50, S_A
30160, DIGESAN , DIGESAN, NOT FOUND, AMP. 10 MG 2 ML x 6, S_A
46203, DIGESAN , DIGESAN, NOT FOUND, CAPS RETARD 20 MG x 20, S_A
57611, DIMERCAPROL , DIMERCAPROL, DIMERCAPROL, AMP. 100 MG 1 ML x 5, S_A
45651, DIMETROSE , DIMETROSE, NOT FOUND, CAPS 2.50 MG x 8, S_A
73549, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 240, S_A
73550, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), S_A
73552, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), S_A
73551, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML), S_A
30649, DOGMATIL , DOGMATIL, NOT FOUND, CPR 200 MG x 20, S_A
30532, DOGMATIL , DOGMATIL, NOT FOUND, CAPS 50 MG x 20, S_A
43507, DOGMATIL , DOGMATIL, NOT FOUND, GOTAS PED 20 MG 30 ML x 1 (/ML), S_A
3488, DOLANTINA , DOLANTINA, NOT FOUND, AMP. 100 MG 2 ML x 25, S_A
56416, DORFLEX , DORFLEX, NOT FOUND, CPR x 240, S_A
56415, DORFLEX , DORFLEX, NOT FOUND, CPR x 30, S_A
56417, DORFLEX , DORFLEX, NOT FOUND, GOTAS 20 ML x 1, S_A
137592, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, SPRAY 118 ML x 1, S_A
137591, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, ROLLON 73 ML x 1, S_A
137578, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, ADES FLE PEQ x 5, S_A
137577, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, ADES FLE GRA x 5, S_A
137571, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, ADES FLE EG x 3, S_A
137580, DORFLEX ICYHOT , DORFLEX ICYHOT, NOT FOUND, BAND ELAST x 3, S_A
52205, DORICO , DORICO, NOT FOUND, CPR 750 MG x 200, S_A
27822, DORICO , DORICO, NOT FOUND, CPR 500 MG x 100, S_A
52203, DORICO , DORICO, NOT FOUND, CPR 750 MG x 10, S_A
52204, DORICO , DORICO, NOT FOUND, CPR 750 MG x 20, S_A
53039, DORICO , DORICO, NOT FOUND, GOTAS 200 MG 10 ML x 1 (/ML), S_A
52202, DORICO , DORICO, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), S_A
