114423; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; SUSP ORAL 20 MG 100 ML x 1 (/ML); HPO
113639; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; SUSP ORAL 20 MG 100 ML x 50 (/ML); HPO
76693; CARBONATO LITIO MG ; CARBONATO LITIO; NOT FOUND; CPR 300 MG x 50; HPO
76548; CARBONATO LITIO MG ; CARBONATO LITIO; NOT FOUND; CPR 300 MG x 500; HPO
62833; CARDIORON ; CARDIORON; NOT FOUND; A.IV 50 MG 3 ML x 100 (/ML); HPO
72985; CEFALEXOL ; CEFALEXOL; NOT FOUND; SUSP 50 MG 100 ML x 1 (/ML); HPO
77368; CEFALEXOL ; CEFALEXOL; NOT FOUND; SUSP 50 MG 60 ML x 1 (/ML); HPO
65021; CETOCOL ; CETOCOL; NOT FOUND; CPR 200 MG x 10; HPO
62410; CETOCOL ; CETOCOL; NOT FOUND; CPR 200 MG x 500; HPO
62411; CETOCOL ; CETOCOL; NOT FOUND; CREME 20 MG 30 G x 100 (/G); HPO
77860; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); HPO
70759; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 100 (/G); HPO
62557; CIPROFLOXAN ; CIPROFLOXAN; NOT FOUND; F.IV 200 MG 100 ML x 1; HPO
75922; CITR.FENTANILA MG ; CITR FENTANILA; CITRATO FENTANILA; A.IV 50 Y 10 ML x 50 (/ML); HPO
73414; CITR.FENTANILA MG ; CITR FENTANILA; CITRATO FENTANILA; A.IV 50 Y 2 ML x 50 (/ML); HPO
73413; CITR.FENTANILA MG ; CITR FENTANILA; CITRATO FENTANILA; A.IV 50 Y 5 ML x 25 (/ML); HPO
65026; CLINDAMICIL ; CLINDAMICIL; NOT FOUND; CAPS 300 MG x 16; HPO
74154; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CREME 10 MG 20 G x 1 (/G); HPO
76830; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); HPO
76831; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 200 (/ML); HPO
67995; CLOR DOPAMINA MG ; CLOR DOPAMINA; CLORIDRATO DOPAMINA; AMP INF 50 MG 10 ML x 100; HPO
85619; CLOR NALOXONA MG ; CLOR NALOXONA; CLORIDRATO NALOXONA; AMP. 0.40 MG 1 ML x 10 (/ML); HPO
77833; CLOR TIAMINA MG ; CLOR TIAMINA; CLORIDRATO TIAMINA; CPR REVEST 300 MG x 500; HPO
75925; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; AMP. 100 MG 2 ML x 100 (/ML); HPO
75924; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; AMP. 50 MG 1 ML x 100 (/ML); HPO
78418; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS GEL 50 MG x 500; HPO
72510; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 100 ML x 1 (/5ML); HPO
72511; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 100 ML x 50 (/5ML); HPO
77863; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); HPO
70521; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 50 (/5ML); HPO
72508; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 100 ML x 1 (/5ML; HPO
72509; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 100 ML x 50 (/5M; HPO
77862; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 1 (/5ML; HPO
70520; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 50 (/5M; HPO
65029; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; F.AMP S/VAS 2 % 20 ML x 25; HPO
65030; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; F.AMP S/VAS 2 % 5 ML x 100; HPO
77326; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL. 20 MG 30 G x 1 (/G); HPO
67360; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL. 20 MG 30 G x 100 (/G); HPO
79074; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; SPRAY 100 MG 50 ML x 1 (/ML); HPO
70763; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; A.IV 50 MG 3 ML x 100 (/ML); HPO
68525; CLOR.DOBUTAMINA MG ; CLOR DOBUTAMINA; CLORIDRATO DOBUTAMINA; F.AMP 250 MG 20 ML x 10; HPO
76972; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; HPO
77898; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 500; HPO
73277; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; AMP. 5 MG 2 ML x 100 (/ML); HPO
75926; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 1 (/ML); HPO
