59123; TEMODAL ; TEMODAL; NOT FOUND; CAPS 100 MG x 5; MSD
76677; TEMODAL ; TEMODAL; NOT FOUND; CAPS 140 MG x 5; MSD
76678; TEMODAL ; TEMODAL; NOT FOUND; CAPS 180 MG x 5; MSD
59122; TEMODAL ; TEMODAL; NOT FOUND; CAPS 20 MG x 5; MSD
59124; TEMODAL ; TEMODAL; NOT FOUND; CAPS 250 MG x 5; MSD
59121; TEMODAL ; TEMODAL; NOT FOUND; CAPS 5 MG x 5; MSD
78595; TEMODAL ; TEMODAL; NOT FOUND; F.AMP IV LIO 100 MG 40 ML x 1; MSD
73490; TIENAM ; TIENAM; NOT FOUND; F.IV 500 MG 20 ML x 1; MSD
46451; TIENAM ; TIENAM; NOT FOUND; F.IV INFUSAO 500 MG 120 ML x 1; MSD
79963; TIENAM ; TIENAM; NOT FOUND; F.IV INFUSAO 500 MG 20 ML x 25; MSD
51271; TIENAM ; TIENAM; NOT FOUND; F.MONOVIAL 500 MG x 1; MSD
30640; TIMOPTOL ; TIMOPTOL; NOT FOUND; SOLN OFTAL 0.25 % 5 ML x 1; MSD
30641; TIMOPTOL ; TIMOPTOL; NOT FOUND; SOLN OFTAL 0.50 % 5 ML x 1; MSD
50691; TIMOPTOL XE ; TIMOPTOL XE; NOT FOUND; SOLN OFTAL 0.25 % 5 ML x 1; MSD
50692; TIMOPTOL XE ; TIMOPTOL XE; NOT FOUND; SOLN OFTAL 0.50 % 5 ML x 1; MSD
33388; TOLVON ; TOLVON; NOT FOUND; CPR 30 MG x 20; MSD
51446; TRUSOPT ; TRUSOPT; NOT FOUND; SOLN OFTAL 2 % 5 ML x 1; MSD
28065; TRYPTANOL ; TRYPTANOL; NOT FOUND; CPR 25 MG x 20; MSD
51447; TRYPTANOL ; TRYPTANOL; NOT FOUND; CPR 75 MG x 20; MSD
