1108500210011; METROFARMA; METROFARMA; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; FM_
1108500210028; METROFARMA; METROFARMA; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); FM_
1108500360070; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR  VD AMB X 100 ML + CP MED; FM_
1108500360011; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED ; FM_
1108500360046; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED; FM_
1108500360100; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; FM_
1108500360038; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 100 ML + 100 CP MED ( EMB HOSP); FM_
1108500360062; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 120 ML + 100 CP MED ( EMB HOSP); FM_
1108500360097; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 100 FR VD AMB X 100 ML + 100 CP MED ( EMB HOSP); FM_
1108500360127; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 100 FR VD AMB X 120 ML + 100 CP MED ( EMB HOSP)
 
; FM_
1108500360021; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 100 ML + 60 CP MED ( EMB HOSP); FM_
1108500360054; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 120 ML + 60 CP MED ( EMB HOSP); FM_
1108500360089; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB HOSP); FM_
1108500360119; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR VD AMB X 120 ML + 60 CP MED ( EMB HOSP); FM_
1108500360135; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500360143; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500360151; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500360161; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR VD AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500040025; MANITOL; MANITOL; MANITOL; FRASCO PLASTICO 250 ML; FM_
1108500040017; MANITOL; MANITOL; MANITOL; FRASCO PLASTICO 500 ML; FM_
1108500370017; MANITOL FARMACE; MANITOL FARMACE; NOT FOUND; 200 MG/ML SOL INJ IV CX 50 FA PLAS TRANS SIST FECH X 250 ML; FM_
1108500370025; MANITOL FARMACE; MANITOL FARMACE; NOT FOUND; 200 MG/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML; FM_
1108500140011; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; FRASCO PLASTICO 100 ML; FM_
