1108500070048; CLORETO DE SÓDIO + CLORETO DE CÁLCIO + ASSOCIAÇÕES FARMACE; CLORETO SODIO CLORETO CALCIO ASSOCIACOES FARMACE; NOT FOUND; NA 138.0 + K 2.0 MEQ SOL HD ACD GAL PLAS INC X 5000 ML + 8.4% SOL BIC GAL X 5000 ML; FM_
1108500070048; CLORETO DE SÓDIO + CLORETO DE CÁLCIO + ASSOCIAÇÕES FARMACE; CLORETO SODIO CLORETO CALCIO ASSOCIACOES FARMACE; NOT FOUND; NA 138.0 + K 2.0 MEQ SOL HD ACD GAL PLAS INC X 5000 ML + 8.4% SOL BIC GAL X 5000 ML; FM_
1108500150025; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 1 G/10 ML SOL INJ CX 200 FR PLAS TRANS X 10 ML (REST. HOSP.); FM_
1108500150051; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; AMPOLA PLASTICA 10 ML; FM_
1108500150092; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 1.91 G/10 ML SOL INJ CX 200 FR PLAS TRANS X 10 ML (REST. HOSP.); FM_
1108500010037; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 FR PLAS TRANS X 10 ML; FM_
1108500010045; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 100 FR PLAS TRANS X 20 ML; FM_
1108500010142; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% FRASCO PLASTICO DE 100 ML; FM_
1108500010177; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% FRASCO PLASTICO DE 1000 ML; FM_
1108500010025; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% FRASCO PLASTICO DE 250 ML; FM_
1108500010015; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% FRASCO PLASTICO DE 500 ML; FM_
1108500010071; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP VD INC X 10 ML; FM_
1108500010088; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10% AMPOLA PLASTICA 20 ML; FM_
1108500010096; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; FM_
1108500010101; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 100 AMP PLAS TRANS X 20 ML; FM_
