1108500410019; FARMACE CPHD - FRAÇÃO ÁCIDA COM CÁLCIO 2,5 MEQ/L; FARMACE CPHD FRACAO ACIDA CALCIO 2 5 MEQ L; NOT FOUND; (210.7+5.22+6.43+3.55+10.83) G/L SOL HEMO BOMBO PLAS TRANS X 5 L; FM_
1108500410027; FARMACE CPHD - FRAÇÃO ÁCIDA COM CÁLCIO 2,5 MEQ/L; FARMACE CPHD FRACAO ACIDA CALCIO 2 5 MEQ L; NOT FOUND; (210.7+5.22+6.43+3.55+10.83) G/L SOL HEMO CX 4 BOMBO PLAS TRANS X 5 L; FM_
1108500100044; FARMACE - RINGER; FARMACE RINGER; NOT FOUND; 0.860G + 0.030G + 0.033G SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML; FM_
1108500100036; FARMACE - RINGER; FARMACE RINGER; NOT FOUND; 0.860G + 0.030G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; FM_
1108500400013; FOSFATO DE POTÁSSIO; FOSFATO POTASSIO; NOT FOUND; 2 MEQ/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; FM_
1108500320044; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CT AMP VD INC X 2.5 ML ; FM_
1108500320060; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CX 100 AMP VD INC X 2.5 ML (EMB HOSP); FM_
1108500320052; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP); FM_
1108500320011; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML ; FM_
1108500320036; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); FM_
1108500320028; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP); FM_
1108500200014; FUROSEFARMA; FUROSEFARMA; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML  - JA ALTEROU!!!; FM_
SI/NC; FARMACE - SOL. GLICERINA 12%; FARMACE SOL GLICERINA 12; NOT FOUND; FRASCO PLASTICO 250 ML; FM_
1108500120010; FARMACE - SOL. GLICERINA 12%; FARMACE SOL GLICERINA 12; NOT FOUND; 120 MG/ML ENEMA CX 24 FR PLAS TRANS X 500 ML; FM_
1108500090138; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 60 FR PLAS TRANS SIST FECH X 100 ML; FM_
1108500090146; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML; FM_
1108500090154; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; FM_
1108500090162; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; FM_
1108500090057; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 2.5 G/10ML SOL INJ CX 200 FR PLAS TRANS X 10 ML; FM_
1108500220074; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 60 FR PE TRANS SIST FECH X 100 ML ; FM_
1108500220082; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 12 FR PE TRANS SIST FECH X 1000 ML; FM_
1108500220090; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 24 FR PE TRANS SIST FECH X 500 ML; FM_
1108500220104; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 50 FR PE TRANS SIST FECH X 250 ML ; FM_
