SI/NC; GLICOFISIOLÓGICO; GLICOFISIOLOGICO; NOT FOUND; FRASCO PLASTICO 250 ML; FM_
1108500050012; GLICOFISIOLÓGICO; GLICOFISIOLOGICO; NOT FOUND; FRASCO PLASTICO 500 ML; FM_
1108500380012; GLICOSE + CLORETO DE SÓDIO FARMACE; GLICOSE CLORETO SODIO FARMACE; NOT FOUND; 50 MG + 9MG/ML SOL INJ IV CX 60 FR PLAS TRANS SIST FECH X 100ML EMB HOSP ; FM_
1108500380047; GLICOSE + CLORETO DE SÓDIO FARMACE; GLICOSE CLORETO SODIO FARMACE; NOT FOUND; 50 MG + 9MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000ML EMB HOSP ; FM_
1108500380020; GLICOSE + CLORETO DE SÓDIO FARMACE; GLICOSE CLORETO SODIO FARMACE; NOT FOUND; 100 MG + 9MG/ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250ML EMB HOSP ; FM_
1108500380039; GLICOSE + CLORETO DE SÓDIO FARMACE; GLICOSE CLORETO SODIO FARMACE; NOT FOUND; 50 MG + 9MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500ML EMB HOSP ; FM_
1108500090030; GLICOSE; GLICOSE; GLICOSE; 10% FRASCO PLASTICO DE 100 ML; FM_
1108500090049; GLICOSE; GLICOSE; GLICOSE; 10% FRASCO PLASTICO DE 1000 ML; FM_
1108500090022; GLICOSE; GLICOSE; GLICOSE; 10% FRASCO PLASTICO DE 250 ML; FM_
1108500090014; GLICOSE; GLICOSE; GLICOSE; 10% FRASCO PLASTICO DE 500 ML; FM_
1108500090073; GLICOSE; GLICOSE; GLICOSE; 2.5 G/10ML SOL INJ CX 200 AMP VD INC X 10 ML; FM_
1108500220031; GLICOSE; GLICOSE; GLICOSE; 5% FRASCO PLASTICO DE 100 ML; FM_
1108500002003; GLICOSE; GLICOSE; GLICOSE; 5% FRASCO PLASTICO DE 1000 ML; FM_
1108500220066; GLICOSE; GLICOSE; GLICOSE; 5% FRASCO PLASTICO DE 250 ML; FM_
1108500020010; GLICOSE; GLICOSE; GLICOSE; 5% FRASCO PLASTICO DE 500 ML; FM_
1108500090091; GLICOSE; GLICOSE; GLICOSE; 5.0 G/10ML SOL INJ CX 200 FR PLAS TRANS X 10 ML; FM_
1108500090103; GLICOSE; GLICOSE; GLICOSE; 5.0 G/10ML SOL INJ CX 100 FR PLAS TRANS X 20 ML; FM_
